source,target,value,name,group,size1,size2,size
0,1,1,99550697,0,3,0.602059991,3.010299955
0,2,1,nyserq,0,4,0.698970004,3.49485002
0,3,1,41758984,0,1,0.301029996,1.50514998
4,5,1,80722428,1,12,1.113943352,5.56971676
6,4,1,dalaoshi9999,1,2,0.477121255,2.385606275
7,8,1,veverlee,1,48,1.69019608,8.4509804
7,9,1,119113192,1,1,0.301029996,1.50514998
7,10,1,58570436,0,4,0.698970004,3.49485002
7,11,1,angle223,0,14,1.176091259,5.880456295
12,13,1,rakumm,3,16,1.230448921,6.152244605
14,13,1,49213881,3,8,0.954242509,4.771212545
14,15,1,lithiumberry,0,4,0.698970004,3.49485002
16,17,1,cazze,2,2,0.477121255,2.385606275
16,18,1,69290051,2,36,1.568201724,7.84100862
16,15,1,zuosan,2,8,0.954242509,4.771212545
16,19,1,imecstasy,6,19,1.301029996,6.50514998
20,21,1,willdawn,12,4,0.698970004,3.49485002
20,22,1,TERRYBEAR,12,4,0.698970004,3.49485002
11,23,1,yinxiang,3,51,1.716003344,8.58001672
11,24,1,shezaizuyi,12,6,0.84509804,4.2254902
11,25,1,wenzel,8,41,1.62324929,8.11624645
26,27,1,ingwerstein,8,5,0.77815125,3.89075625
26,28,1,1815039,6,18,1.278753601,6.393768005
29,25,1,3310354,0,7,0.903089987,4.515449935
30,31,1,3718831,2,34,1.544068044,7.72034022
30,32,1,58059498,2,41,1.62324929,8.11624645
30,20,1,Rabit43127157,7,2,0.477121255,2.385606275
30,33,1,sho_chiu,7,5,0.77815125,3.89075625
30,34,1,shaomao1,7,9,1,5
30,18,1,63730928,3,2,0.477121255,2.385606275
30,5,1,Makoto614,3,11,1.079181246,5.39590623
30,35,1,abin520918,2,25,1.414973348,7.07486674
30,10,1,satan163,7,34,1.544068044,7.72034022
30,9,1,metkee,3,1,0.301029996,1.50514998
36,37,1,FrankWasabi,3,15,1.204119983,6.020599915
38,25,1,xiubei,3,2,0.477121255,2.385606275
38,18,1,36795841,4,1,0.301029996,1.50514998
38,39,1,AveryShen,4,1,0.301029996,1.50514998
40,39,1,fszzsndjdbxd,3,3,0.602059991,3.010299955
40,20,1,chunsue,7,43,1.643452676,8.21726338
41,42,1,rlly503,8,2,0.477121255,2.385606275
43,9,1,heptahedron,5,1,0.301029996,1.50514998
13,19,1,lauraxue,5,1,0.301029996,1.50514998
13,3,1,dreamsun_94,3,1,0.301029996,1.50514998
13,32,1,Huxinghang510,2,9,1,5
13,44,1,46815070,2,2,0.477121255,2.385606275
13,14,1,53269895,2,9,1,5
