N1000	E574
0	461
0	619
0	81
9	426
34	9
36	266
36	457
36	271
36	44
37	70
39	70
39	458
40	97
40	265
40	458
40	78
41	804
41	460
44	74
44	865
44	685
45	523
47	685
48	506
48	273
48	41
48	621
48	79
48	265
48	426
48	861
48	271
48	457
51	277
52	685
52	265
52	960
54	960
54	41
55	688
63	457
70	78
70	81
70	273
70	459
70	39
70	457
70	426
70	970
70	463
70	685
70	865
71	41
71	860
72	507
72	509
73	273
73	265
73	865
74	265
74	762
74	73
75	265
76	70
79	112
79	458
79	960
81	555
81	111
81	426
81	461
87	265
88	695
88	41
89	112
89	458
92	265
93	426
97	457
97	266
98	457
98	81
98	500
98	265
99	470
102	457
104	109
108	866
109	104
109	804
111	763
111	527
111	392
111	41
111	470
111	555
111	81
111	37
111	523
111	960
112	79
112	465
112	39
112	265
114	144
127	208
127	864
132	497
142	426
142	960
144	114
154	685
165	960
166	41
166	79
184	184
208	127
216	265
217	689
261	685
261	460
265	685
265	73
265	41
265	931
266	97
268	426
268	41
268	960
268	265
268	953
271	685
271	265
273	48
273	73
273	685
273	477
273	460
273	531
273	865
273	426
273	265
274	70
275	318
275	292
275	293
276	846
276	265
276	70
278	268
278	958
279	541
280	426
280	265
280	41
283	41
283	266
283	804
283	457
283	265
283	426
283	497
292	318
292	275
293	426
293	318
293	275
294	426
294	970
295	41
295	265
296	426
296	78
296	874
296	470
296	333
309	685
310	690
312	426
318	275
318	292
318	293
319	266
319	426
333	958
333	960
333	296
341	265
347	457
349	426
360	960
392	960
392	265
392	716
393	41
395	74
397	70
407	689
407	509
418	70
418	266
426	319
426	93
426	273
426	860
426	960
428	457
430	460
430	426
430	473
441	78
441	79
441	685
442	689
449	685
451	957
452	685
452	70
458	39
458	79
458	960
458	865
459	506
459	460
459	70
459	685
459	463
460	261
460	459
460	685
460	458
460	865
460	273
460	265
460	41
461	81
462	265
463	465
463	459
463	265
463	70
465	112
466	273
466	426
467	70
467	503
468	470
469	41
469	470
470	960
470	273
470	283
471	470
473	697
474	470
474	70
474	41
477	79
477	273
478	685
478	457
478	805
478	426
478	41
479	780
479	41
479	81
479	265
479	685
479	957
479	79
480	426
490	266
490	461
496	458
499	960
499	716
500	98
500	928
501	47
501	271
501	457
501	865
501	954
501	79
501	41
501	265
503	41
506	78
506	271
506	39
506	457
506	463
506	864
506	459
506	392
506	696
506	273
506	497
506	79
506	458
506	460
506	70
506	685
506	865
506	426
506	74
506	266
506	41
506	265
506	960
507	685
507	865
507	41
507	426
507	283
507	72
509	425
509	72
511	765
511	900
513	265
513	41
515	41
523	960
523	865
523	866
528	865
529	265
529	865
529	70
529	685
529	426
529	41
531	265
533	864
533	319
539	265
539	426
539	273
539	960
539	523
541	279
550	645
551	273
551	105
567	426
567	271
567	266
567	273
567	79
579	685
584	70
585	594
585	41
594	585
607	898
610	864
610	426
610	685
613	426
613	41
614	265
623	960
629	88
635	465
635	42
646	266
650	265
658	265
663	460
663	960
669	470
669	960
672	266
684	960
685	273
685	265
685	70
685	865
685	426
685	458
686	458
690	41
691	39
691	265
691	70
691	465
695	88
696	954
697	473
702	273
703	265
708	960
711	465
711	685
713	762
714	501
716	283
735	70
739	960
740	957
740	464
740	78
740	70
740	864
740	465
740	458
740	273
740	685
740	460
750	960
751	960
753	265
755	458
755	273
762	74
762	713
763	111
763	874
763	273
763	960
765	511
765	273
767	70
769	960
769	179
769	41
769	462
769	527
771	957
771	960
771	426
778	273
780	479
780	802
780	863
782	470
793	960
793	426
797	81
804	497
804	41
806	426
806	87
806	458
806	555
807	463
817	685
818	41
820	960
820	265
821	960
827	122
827	41
827	462
828	862
830	470
833	460
835	426
846	265
847	41
860	426
860	71
861	457
862	828
863	465
863	463
863	70
863	780
863	497
863	685
863	265
863	960
863	273
863	457
863	696
863	865
863	426
863	41
863	266
864	866
864	865
865	523
865	70
865	685
865	460
865	73
865	528
865	426
865	265
865	273
865	864
865	866
865	79
865	458
865	41
865	960
865	497
866	864
866	865
866	41
866	523
866	108
869	685
869	70
869	73
869	470
870	265
870	273
870	805
870	426
872	763
874	296
874	685
874	273
875	426
887	70
887	685
891	39
900	511
902	685
910	299
912	777
914	958
914	265
914	426
928	805
928	500
931	265
939	805
939	426
939	265
939	70
939	273
939	685
939	41
939	865
940	497
954	87
954	960
955	503
955	81
955	465
955	273
955	426
955	266
957	771
957	426
957	265
960	523
960	763
960	79
960	954
960	458
960	268
960	865
960	426
961	685
961	266
963	685
963	426
963	265
963	271
963	457
963	41
968	458
984	41
989	470
992	960
992	41
994	267
997	489
998	685
